key,text,module
Product,Product,
Create,Create,
Upload,Upload,
Export,Export,
Fetch from Marketplace,Fetch from Marketplace,
Product Name,Product Name,
Price,Price,
Special Price,Special Price,
Approval Status,Approval Status,
Approved,Approved,
Add,Add,
Not Approved,Not Approved,
Product Detail,Product Detail,
This field is required!,This field is required!,
The product has been saved,The product has been saved,
Base,Base,
Small,Small,
Swatch,Swatch,
Thumbnail,Thumbnail,
Save,Save,
Please make sure all required field is filled !,Please make sure all required field is filled !,
Attribute Set,Attribute Set,
Stock List,Stock List,
Location,Location,
Qty Total,Qty Total,
Qty Reserved,Qty Reserved,
Qty Saleable,Qty Saleable,
Vendor Price List,Vendor Price List,
Vendor,Vendor,
Product Location Mapping,Product Location Mapping,
Product Image Configuration,Product Image Configuration,
Product Detail #,Product Detail #,
Price List,Price List,
Company,Company,
Channel,Channel,
Product Upload,Product Upload,
Product Upload Template,Product Upload Template,
Upload Product Tutorial,Upload Product Tutorial,
Please select the file :,Please select the file :,
Product Export,Product Export,
The product has been downloaded,The product has been downloaded,
Select product attributes :,Select product attributes :,
System Attribute,System Attribute,
Export Attribute,Export Attribute,
Default Value,Default Value,
Add,Add,
Save and Download CSV,Save and Download CSV,
Product Bundle,Product Bundle,
Bundle,Bundle,
Import Product Bundle,Import Product Bundle,
Bundle SKU,Bundle SKU,
Bundle Items,Bundle Items,
Updated,Updated,
Action,Action,
Updated From,Updated From,
Updated To,Updated To,
Quantity,Quantity,
Attach File,Attach File,
Download Product Bundle Sample CSV,Download Product Bundle Sample CSV,
Submit,Submit,
ERROR,ERROR,
SUCCESS,SUCCESS,
Started At,Started At,
Run By,Run By,
Error Message,Error Message,
Attachment,Attachment,
Download,Download,
Manage Product Bin,Manage Product Bin,
Code Bin,Code Bin,
Sort Number,Sort Number,
Import Product Bin,Import Product Bin,
Order Import Success,Order Import Success,
Download Product Bin by SKU Sample CSV,Download Product Bin by SKU Sample CSV,
Download Product Bin by SKU and Location CSV,Download Product Bin by SKU and Location CSV,
Product Bulk Tools,Product Bulk Tools,
Bulk Type,Bulk Type,
Product Import,Product Import,
Download the Sample CSV,Download the Sample CSV,
Product Configurable Import,Product Configurable Import,
Product Import Tutorial,Product Import Tutorial,
Product Configurable Import Tutorial,Product Configurable Import Tutorial,
Product Image Upload,Product Image Upload,
Tutorial Product Image Upload,Tutorial Product Image Upload,
ID,ID,
ID From,ID From,
ID To,ID To,
SKU,SKU,
View,View,
Rows Found,Rows Found,
Rows Processed,Rows Processed,
Rows Success,Rows Success,
Rows Not Changed,Rows Not Changed,
Rows Errors,Rows Errors,
Log Messages,Log Messages,
Line - Message,Line - Message,
Status,Status,
"To upload the product list, please follow these steps:","To upload the product list, please follow these steps:",
Please prepare a product list to upload in CSV format. You can use the existing template containing the required data that can be downloaded from,Please prepare a product list to upload in CSV format. You can use the existing template containing the required data that can be downloaded from,
"If you want to use a different template for product upload, you can change it on the ","If you want to use a different template for product upload, you can change it on the ",
Configuration Menu,Configuration Menu,
Prepare the template in,Prepare the template in,
CSV,CSV,
file format with comma-separated values. This format is required for product import. The first row is the column name and below it is the product data. For example:,file format with comma-separated values. This format is required for product import. The first row is the column name and below it is the product data. For example:,
"sku,name,price,stock.qty","sku,name,price,stock.qty",
"X9HC01,DEMINERALIZED WATER 1000L,1300000,10","X9HC01,DEMINERALIZED WATER 1000L,1300000,10",
On the,On the,
select,select,
", and expand on",", and expand on",
section.,section.,
Upload File Product Template,Upload File Product Template,
", click",", click",
Choose File,Choose File,
button and select the CSV file you have been prepared before.,button and select the CSV file you have been prepared before.,
"If the template file has been selected, the ","If the template file has been selected, the ",
Delete,Delete,
button will be visible and you can use it to delete the existing file selection. This action will restore the template to the default version.,button will be visible and you can use it to delete the existing file selection. This action will restore the template to the default version.,
Click,Click,
button to save configuration changes.,button to save configuration changes.,
Open the product upload template using any supported application. The columns in this file are the minimum requirements to upload product data. You can add another column that is included in the product attribute.Also please note that only comma-separated values are supported for product upload.,Open the product upload template using any supported application. The columns in this file are the minimum requirements to upload product data. You can add another column that is included in the product attribute.Also please note that only comma-separated values are supported for product upload.,
"Select file for product list (.csv format) by clicking ","Select file for product list (.csv format) by clicking ",
button to upload and please wait till the process is finished. The updated product table will be updated shortly after it.,button to upload and please wait till the process is finished. The updated product table will be updated shortly after it.,
"To import configurable products, please follow these steps:","To import configurable products, please follow these steps:",
Please prepare a product configurable list to import in a CSV format. You can use the template containing the required data that can be downloaded from,Please prepare a product configurable list to import in a CSV format. You can use the template containing the required data that can be downloaded from,
Configurable Product Upload Template,Configurable Product Upload Template,
Open the configurable product import template using any supported application. The first column is the field/column name while below it is the configurable products data. Also please note that only comma-separated values are supported for configurable product import. For example:,Open the configurable product import template using any supported application. The first column is the field/column name while below it is the configurable products data. Also please note that only comma-separated values are supported for configurable product import. For example:,
Required data on CSV file:,Required data on CSV file:,
Sku,Sku,
Product’s SKU (Stock Keeping Unit),Product’s SKU (Stock Keeping Unit),
Group,Group,
SKU of the parent product for the child product entry. Leave this column empty if the entry is parent product.,SKU of the parent product for the child product entry. Leave this column empty if the entry is parent product.,
Attribute set code,Attribute set code,
Code for attribute set that is used in the product.,Code for attribute set that is used in the product.,
Name,Name,
Product name.,Product name.,
Description,Description,
Description of the product.,Description of the product.,
Product type,Product type,
"For parent product, the type is","For parent product, the type is",
configurable,configurable,
while for the child product is,while for the child product is,
simple,simple,
Visibility,Visibility,
"To make the parent product visible in the search or catalog, please set the visibility to","To make the parent product visible in the search or catalog, please set the visibility to",
"For the child product, use","For the child product, use",
"Catalog, Search","Catalog, Search",
Not Visible Individually,Not Visible Individually,
Product price only applies to the child product. Leave this field empty if the entry is a parent product.,Product price only applies to the child product. Leave this field empty if the entry is a parent product.,
Qty,Qty,
"Similar to product price, only child product that is required qty. For parent products, leave this field blank.","Similar to product price, only child product that is required qty. For parent products, leave this field blank.",
Use $ to enable the product and use $ value to disable it.,Use $ to enable the product and use $ value to disable it.,
The fields below are the product attributes that are currently used. This might be different depending on your needs.,The fields below are the product attributes that are currently used. This might be different depending on your needs.,
Size,Size,
"Product size only used for child products. For parent products, leave this field blank.","Product size only used for child products. For parent products, leave this field blank.",
Color,Color,
"Same as product price, add color only in child products entry. Leave this field empty if the entry is a parent product.","Same as product price, add color only in child products entry. Leave this field empty if the entry is a parent product.",
Configurable variations,Configurable variations,
"Variation that is used for the configurable products. For example, if you use size and color in product attributes, the values for this field should be$size,color","Variation that is used for the configurable products. For example, if you use size and color in product attributes, the values for this field should be$size,color",
Select the CSV file you have edited earlier by clicking,Select the CSV file you have edited earlier by clicking,
Choose File $ button.,Choose File $ button.,
Click $ Submit,Click $ Submit,
button to upload and please wait till the process is finished. The product table with the newly added configurable products will be updated shortly after it.,button to upload and please wait till the process is finished. The product table with the newly added configurable products will be updated shortly after it.,
Product Image Upload Tutorial,Product Image Upload Tutorial,
"To upload product images, please follow these steps:","To upload product images, please follow these steps:",
Please prepare a product image list to upload in a CSV format. You can use the template containing the required data that can be downloaded from,Please prepare a product image list to upload in a CSV format. You can use the template containing the required data that can be downloaded from,
Product Image Upload Template.,Product Image Upload Template.,
Open the product image upload template using any supported application. The first column is the field/column name while below it is the values. Also please note that only comma-separated values are supported for product images upload. For example:,Open the product image upload template using any supported application. The first column is the field/column name while below it is the values. Also please note that only comma-separated values are supported for product images upload. For example:,
SKU :,SKU :,
SKU of the product you want to upload the image to.,SKU of the product you want to upload the image to.,
image :,image :,
Link for product main image.,Link for product main image.,
small image :,small image :,
Link for product’s small image.,Link for product’s small image.,
thumbnail :,thumbnail :,
" Link for product thumbnail image."," Link for product thumbnail image.",
swatch image :,swatch image :,
Link for swatch image (small thumbnails that appear on the parent page of a product).,Link for swatch image (small thumbnails that appear on the parent page of a product).,
additional images :,additional images :,
" Link for additional image (if any)."," Link for additional image (if any).",
"You can add all images at once or add only specific images to one product SKU. If you only want to add a specific image, the values for the other image fields can be left blank. After that, the SWIFT OMS System will only update the product images that have a link as a value.","You can add all images at once or add only specific images to one product SKU. If you only want to add a specific image, the values for the other image fields can be left blank. After that, the SWIFT OMS System will only update the product images that have a link as a value.",
Select the CSV file you edited earlier by clicking,Select the CSV file you edited earlier by clicking,
button.,button.,
button to upload and please wait till the process is finished. The product table with the newly added product images will be updated shortly after it.,button to upload and please wait till the process is finished. The product table with the newly added product images will be updated shortly after it.,
Edit Account,Edit Account,
Information has been saved.,Information has been saved.,
Loading...,Loading...,
Data not found!,Data not found!,
Password and name has been saved.,Password and name has been saved.,
Email and name has been saved.,Email and name has been saved.,
The name has been saved.,The name has been saved.,
Valid email required,Valid email required,
Please confirm your password,Please confirm your password,
Passwords do not match,Passwords do not match,
No Password,No Password,
Edit My Account,Edit My Account,
Firstname,Firstname,
Lastname,Lastname,
Location Code,Location Code,
Channel Code,Channel Code,
Change Email,Change Email,
Change Password,Change Password,
Email,Email,
Current Password,Current Password,
New Password,New Password,
Confirm New Password,Confirm New Password,
Hello,Hello,
welcome to your dashboard!,welcome to your dashboard!,
Order,Order,
You have,You have,
new order,new order,
to process,to process,
No Allocation Order,No Allocation Order,
Failed Order,Failed Order,
Manage Order,Manage Order,
Shipment,Shipment,
orders to confirm,orders to confirm,
and,and,
orders cannot fulfill,orders cannot fulfill,
Store Pickup,Store Pickup,
Home Delivery,Home Delivery,
